,,CZTS,,,,,,,,,,,
Photon Energy (eV),Wavelength (nm) - Plot 0,Voltage (V) - Plot 0,Normalised PL,,,,,,,,,,
1.402708585,884.004,0.001427,0.207048458,,,,,,,,,,
1.401155275,884.984,0.001399,0.083700441,,,,,,,,,,
1.399553272,885.997,0.001421,0.18061674,,,,,,,,,,
1.397954927,887.01,0.001449,0.303964758,,,,,,,,,,
1.396413694,887.989,0.001436,0.246696035,,,,,,,,,,
1.394824078,889.001,0.001427,0.207048458,,,,,,,,,,
1.393239642,890.012,0.001436,0.246696035,,,,,,,,,,
1.391710345,890.99,0.001405,0.110132159,,,,,,,,,,
1.390134529,892,0.001435,0.242290749,,,,,,,,,,
1.388562278,893.01,0.001446,0.290748899,,,,,,,,,,
1.38704633,893.986,0.001418,0.167400881,,,,,,,,,,
1.3854826,894.995,0.001423,0.189427313,,,,,,,,,,
1.383922393,896.004,0.001419,0.171806167,,,,,,,,,,
1.382368778,897.011,0.001439,0.259911894,,,,,,,,,,
1.380867853,897.986,0.001434,0.237885463,,,,,,,,,,
1.379321085,898.993,0.001419,0.171806167,,,,,,,,,,
1.377777778,900,0.001424,0.193832599,,,,,,,,,,
1.376239448,901.006,0.001411,0.136563877,,,,,,,,,,
1.374706073,902.011,0.001433,0.233480176,,,,,,,,,,
1.373224775,902.984,0.001428,0.211453744,,,,,,,,,,
1.371698107,903.989,0.001425,0.198237885,,,,,,,,,,
1.370176344,904.993,0.001393,0.057268722,,,,,,,,,,
1.368657954,905.997,0.001403,0.101321586,,,,,,,,,,
1.367144432,907,0.00142,0.176211454,,,,,,,,,,
1.365635759,908.002,0.001418,0.167400881,,,,,,,,,,
1.36412891,909.005,0.001429,0.215859031,,,,,,,,,,
1.362626881,910.007,0.001407,0.118942731,,,,,,,,,,
1.36112965,911.008,0.001417,0.162995595,,,,,,,,,,
1.359635705,912.009,0.001409,0.127753304,,,,,,,,,,
1.358146524,913.009,0.001411,0.136563877,,,,,,,,,,
